"Data Source","World Development Indicators",

"Last Updated Date","2024-11-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110.409942626953","106.10417175293","108.97435760498","112.116203308105","111.557426452637","112.945808410645","114.196823120117","116.387420654297","117.453269958496","115.278770446777","118.148513793945","114.840400695801","105.38020324707","105.201622009277","115.17359161377","117.00074005127","116.413449564134","","","109.338722229004","109.263961791992","110.428649902344","113.950347900391","106.201759338379","",
"Africa Eastern and Southern","AFE","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE","","","","","","","","","","","51.4776496887207","51.6337585449219","52.5918006896973","53.8253707885742","57.335090637207","59.6372184753418","60.9238891601562","62.9648017883301","64.4395904541016","67.2001266479492","70.4394607543945","72.6407089233398","73.1767196655273","73.2566986083984","72.9324722290039","70.5749588012695","70.6277694702148","69.7643508911133","68.5695495605469","70.1878128051758","68.0095596313477","69.3721313476562","67.9485015869141","68.1085586547852","67.9121475219727","68.8225631713867","68.5924835205078","72.1681823730469","72.328239440918","72.2033233642578","73.982048034668","77.1684494018555","79.6198501586914","83.5423736572266","86.2078018188477","90.1037979125977","93.17822265625","96.4947662353516","100.486778259277","100.651786804199","100.136077880859","99.427360534668","100.04997253418","99.8403778076172","100.440650939941","99.6382369995117","100.143058776855","100.587928771973","101.346862792969","102.127792358398","102.924186706543","101.733757019043","101.460350036621","",
"Afghanistan","AFG","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE","","","","","","","","","","","9.53493976593018","9.56169033050537","9.86567974090576","10.3866100311279","10.4778203964233","11.190299987793","11.7722396850586","12.4988203048706","13.2548704147339","","16.9043502807617","19.6593608856201","14.3630895614624","","17.0828800201416","17.4886608123779","20.0451393127441","","24.7973899841309","24.0666198730469","23.9793891906738","24.9300498962402","","18.2478103637695","30.8719100952148","32.4692306518555","","","","4.08202981948853","0","0","46.8571090698242","68.6276473999023","63.2947311401367","73.1886520385742","79.2162399291992","76.4081268310547","80.1194763183594","78.6424026489258","83.1149520874023","83.3764724731445","88.89306640625","88.7339706420898","89.5568466186523","85.9023666381836","85.787956237793","85.5634918212891","86.1901321411133","88.3335800170898","","","","",
"Africa Western and Central","AFW","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE","","","","","","","","","","","32.8686103820801","34.6773300170898","36.7936515808105","38.5006103515625","38.8168601989746","39.2668800354004","39.9636688232422","46.0213012695312","53.662281036377","59.9256401062012","63.1746215820312","67.0895385742188","71.1706924438477","70.9554595947266","70.2902221679688","68.9102172851562","63.5321197509766","61.998649597168","58.9216690063477","60.340461730957","60.2254600524902","60.925220489502","63.2206611633301","65.0896682739258","65.9968185424805","65.4101715087891","61.8270797729492","65.1015167236328","67.5578308105469","69.9764099121094","73.3133316040039","74.3173217773438","75.9230194091797","77.1403427124023","79.3112564086914","80.6193618774414","82.0925903320312","80.4986419677734","78.6139221191406","80.5354919433594","81.6875381469727","85.7024307250977","88.3193893432617","89.686279296875","88.4454727172852","86.4226531982422","85.5697937011719","86.1701278686523","86.5392532348633","87.7621231079102","88.6006469726562","88.7703704833984","88.9420394897461","89.118293762207",
"Angola","AGO","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE","","","","","","","","","","","","43.9851608276367","48.3249015808105","","","","","","","","","","118.261039733887","103.808601379395","","","76.2728500366211","76.0590362548828","73.5520477294922","75.1002731323242","73.9231491088867","67.4797286987305","62.6318206787109","","","","","","67.4952087402344","","","","","","","","","","102.40625","100.978973388672","100.082817077637","98.2748413085938","","","","111.885627746582","102.215685330666","118.293409320277","85.9771755499432","","","87.2460174560547","85.1695317158524","",
"Albania","ALB","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE","","","","","","","","","","","","","","","","","108.215286254883","","103.73201751709","101.597320556641","98.7737197875977","96.8740615844727","96.4061737060547","96.6350021362305","97.0506286621094","98.2608032226562","99.3450775146484","97.7543563842773","98.5549621582031","98.6633224487305","98.623779296875","99.8915176391602","98.770263671875","98.9917907714844","100.089988708496","102.294342041016","105.254417419434","107.476661682129","107.767852783203","107.373580932617","","","108.282859802246","106.092651367188","103.175003051758","105.857566833496","104.857566833496","103.241828918457","100.32054901123","100.334747314453","99.5512084960938","101.190231323242","101.568550109863","100.552230834961","105.631217956543","104.830192565918","104.604591369629","103.944427490234","102.376647949219","99.5995483398438","97.2679672241211","94.1969375610352","93.0946807861328","90.1667633056641",
"Andorra","AND","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE","","","","","","","","","","","","","","","","101.872657775879","","","","","","","","100.737548828125","","","","","","","","","","","","","","","","","","","98.782958984375","95.6436614990234","93.1754913330078","83.5807876586914","84.1868133544922","85.8316192626953","87.8574371337891","89.2617416381836","89.2235870361328","87.3124694824219","87.0071716308594","86.7028503417969","87.7635192871094","88.245849609375","88.6031036376953","88.8937072753906","87.8556289672852","87.9281463623047","87.7619400024414","87.7753829956055","89.9379425048828","97.4965209960938",
"Arab World","ARB","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE","","","","","","","","","","","52.1521186828613","52.013599395752","53.3818397521973","54.6456298828125","55.2678985595703","56.7694702148438","58.3715705871582","59.6763000488281","60.5524597167969","63.3842010498047","65.0742568969727","65.6923980712891","66.8142776489258","67.6973495483398","68.6835327148438","68.9159622192383","69.9040908813477","71.0947036743164","71.5559310913086","72.0091018676758","73.0443725585938","73.7704391479492","71.9437103271484","72.7230377197266","74.9791030883789","74.4149017333984","75.0869369506836","77.5226211547852","78.6819000244141","80.0106964111328","80.7797698974609","81.8047027587891","83.2255477905273","84.4531478881836","85.226676940918","86.132080078125","87.1655578613281","87.6389465332031","88.292610168457","88.5030975341797","89.1493377685547","89.8570175170898","91.786506652832","88.4472808837891","87.7602462768555","87.7555236816406","88.1171722412109","88.2870330810547","88.5813598632812","88.8422927856445","89.3571701049805","89.2552185058594","88.0196075439453","89.4834289550781",
"United Arab Emirates","ARE","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE","","","","","","","","","","","","49.664909362793","56.8052711486816","66.3933563232422","72.5468215942383","77.0218887329102","91.6241302490234","97.5320587158203","97.7698593139648","95.4217529296875","93.0929565429688","89.6299896240234","95.4336013793945","96.6143112182617","96.8164215087891","94.9397125244141","94.6728134155273","94.4007263183594","95.7992630004883","99.1930770874023","102.644912719727","104.049743652344","100.715698242188","99.6885070800781","101.085601806641","102.81714630127","100.860458374023","97.9551391601562","98.6912994384766","101.150001525879","101.171829223633","120.218162536621","116.280799865723","115.07633972168","108.737442016602","104.129318237305","99.3619384765625","96.1061172485352","","76.6915969848633","79.5552215576172","78.8336029052734","81.092887878418","81.4457168579102","85.8603668212891","90.8949508666992","86.3771209716797","80.4677581787109","","89.8075714111328","92.767692565918","","","106.528060913086",
"Argentina","ARG","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE","","","","","","","","","","","106.113296508789","107.022163391113","106.2900390625","105.904327392578","105.99243927002","105.319801330566","104.785263061523","105.606857299805","105.586967468262","105.10913848877","105.10774230957","105.675773620605","106.121002197266","","106.193161010742","107.631126403809","108.958290100098","110.467620849609","114.012519836426","","108.117088317871","109.486709594727","","","","","112.272331237793","109.984733581543","114.144020080566","117.524360656738","117.857681274414","117.94270324707","117.93285369873","115.219947814941","116.047142028809","115.045951843262","116.808967590332","117.999839782715","119.00910949707","118.945541381836","118.294456481934","117.586700439453","116.677909851074","114.937522888184","114.849250793457","114.77953338623","113.931190490723","112.72940826416","112.798812866211","112.665710449219","112.053588867188","111.580436706543","110.118980407715","",
