"Data Source","World Development Indicators",

"Last Updated Date","2024-11-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.4852066040039","87.6526489257812","94.7483596801758","98.3309097290039","91.7639007568359","94.4972763061523","93.6026916503906","96.1588516235352","102.187286376953","97.9946517944336","102.097900390625","95.5525588989258","","","97.9137725830078","106.117988586426","","","","98.0972518920898","108.233528137207","103.185188293457","100.936767578125","95.0197601318359","",
"Africa Eastern and Southern","AFE","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","43.6321182250977","44.3394813537598","44.9723281860352","45.9797096252441","46.8754081726074","47.6614990234375","48.9867401123047","50.2610397338867","52.6165885925293","53.229621887207","54.705940246582","55.6821708679199","56.2309417724609","59.3056182861328","55.7372512817383","55.3184394836426","53.9497985839844","52.4199104309082","50.7954902648926","51.8595504760742","52.6319808959961","51.5099983215332","52.728588104248","51.3385696411133","51.6574401855469","51.8213195800781","51.1529388427734","49.7822113037109","49.6071510314941","49.3755912780762","51.5703086853027","53.1382293701172","54.6929588317871","55.8798217773438","58.5243606567383","60.8099708557129","62.6745681762695","65.9203186035156","69.6016387939453","69.3187866210938","68.2895202636719","67.9991226196289","67.4955368041992","67.727897644043","67.4567337036133","67.7963714599609","68.8831100463867","70.2460708618164","70.9236679077148","71.9904708862305","72.9337921142578","72.092903137207","",
"Afghanistan","AFG","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","17.9868698120117","","","18.9679908752441","20.6745491027832","","27.6641998291016","35.8829002380371","","","21.7596206665039","20.9974803924561","","","","","","","","34.1708297729492","","","","","","","","","","","","","","","","","","","","","","","82.9104614257812","87.2533264160156","88.7355194091797","86.1755218505859","","","","",
"Africa Western and Central","AFW","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","53.1002311706543","53.0683517456055","52.687931060791","52.782958984375","52.5173110961914","53.4828414916992","54.0703887939453","54.7089805603027","55.9810485839844","56.0147590637207","56.4387893676758","57.1336097717285","57.3883209228516","57.5675888061523","57.5705604553223","57.4297904968262","57.847469329834","57.9743118286133","57.8593292236328","57.4467697143555","57.7525291442871","57.9137916564941","58.0184516906738","58.169490814209","58.1559295654297","57.9077606201172","58.6667518615723","58.7921600341797","59.0864410400391","59.4930992126465","60.1111602783203","60.8312492370605","61.0542984008789","61.2008781433105","61.9129981994629","63.7175216674805","67.3274917602539","64.2500915527344","61.1361618041992","63.819580078125","64.7975234985352","65.8963088989258","66.4948806762695","66.9059600830078","67.3131332397461","68.1988983154297","68.7555999755859","68.1461715698242","68.1347885131836","68.1149826049805","68.3626098632812","68.9753494262695","67.7182922363281","68.0491027832031",
"Angola","AGO","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","46.2301712036133","41.2660217285156","","","","","","","","","30.9694499969482","","","","","","","","","","","","","","","","","41.1754112243652","40.9657402038574","42.2859001159668","49.0943412780762","","","","","","","","","","59.6232604980469","61.0302848815918","",
"Albania","ALB","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.5327835083008","","","","","","","109.427757263184","105.375846862793","","","108.387466430664","109.742630004883","108.645553588867","102.078811645508","100.500961303711","117.00846862793","91.1192092895508","105.693672180176","98.7887878417969","99.5973587036133","106.449691772461","102.894180297852","98.717529296875","99.2719268798828","97.2184371948242","101.176277160645","95.1351470947266",
"Andorra","AND","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.9532165527344","102.439018249512","100.962860107422","","","","","","","","","","66.2775573730469","66.0949935913086","68.4967269897461","65.8163299560547","66.7091827392578","64.2213592529297","62.7099685668945","62.0689697265625","","69.3333282470703",
"Arab World","ARB","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","50.473690032959","50.3237800598145","49.8640594482422","50.8821983337402","51.5776100158691","54.507438659668","56.1454696655273","58.1350593566895","57.3941802978516","53.3290481567383","56.4395599365234","59.7050399780273","60.1870002746582","61.1307487487793","63.1600494384766","66.9123916625977","66.0023498535156","65.6488800048828","66.4970169067383","66.9126586914062","68.3942337036133","68.5791320800781","69.364631652832","69.5571670532227","70.2924499511719","71.2307434082031","72.2626419067383","72.9951095581055","74.0501480102539","75.0925064086914","74.9533462524414","76.1357727050781","76.7804565429688","78.2996063232422","79.8977127075195","81.0563812255859","79.3520278930664","81.2041320800781","82.8567199707031","81.9507827758789","83.5988311767578","83.7963180541992","84.9579162597656","80.5733184814453","80.9358901977539","80.3013610839844","80.0922622680664","80.2224731445312","81.1881790161133","81.526741027832","82.603401184082","82.9354629516602","84.0000991821289","85.4020385742188",
"United Arab Emirates","ARE","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","36.4392204284668","41.8893013000488","52.3534202575684","58.6022109985352","61.2533187866211","64.7423706054688","65.9929809570312","69.2605819702148","81.109733581543","82.8186798095703","81.3744506835938","78.1142807006836","78.743293762207","74.7219924926758","70.7035980224609","76.3895416259766","84.1204986572266","90.8818588256836","91.0505676269531","89.4758682250977","90.1040191650391","90.1318435668945","86.2679977416992","82.8324813842773","82.7075119018555","88.8080520629883","94.9609298706055","112.732223510742","108.380546569824","97.704963684082","94.6663131713867","92.9555816650391","89.105842590332","87.9011688232422","","68.6455612182617","69.1126327514648","69.3987197875977","74.0050582885742","75.5917587280273","77.8595428466797","79.8213500976562","","","","84.0476379394531","81.5337524414062","","","99.1737899780273",
"Argentina","ARG","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","69.9526290893555","72.0555419921875","","","76.3412322998047","78.4502029418945","77.9298095703125","","","","","","","","","","","","","","","","","","97.7695236206055","","92.6410675048828","92.3633880615234","101.253288269043","99.4889907836914","99.7241821289062","99.186408996582","101.835418701172","99.5026397705078","97.7836380004883","94.82763671875","95.8469924926758","98.6377868652344","102.386627197266","103.046852111816","103.408630371094","103.409629821777","103.75479888916","103.374931335449","105.392601013184","106.053131103516","106.544448852539","101.581809997559","100.281806945801","100.38289642334","103.837791442871","105.479530334473","103.231628417969","",
